date_and_time,place,text,title
"April 26, 2020 13:41 IST",,"Families awaiting the remains of their loved ones from Abu Dhabi, who had died by causes other than COVID-19, spent another agonising night on Sunday, after three bodies were sent back to the UAE by immigration authorities in Delhi on Friday.,Officials said they hoped that the bodies of Kamlesh Bhatt, Sanjeev Kumar and Jagsir Singh would arrive again early on Monday by an Etihad Airlines flight, after the government reversed its decision to ban coffins being brought back as a part of air cargo due to the coronavirus pandemic.,Also read |,Indian Envoy condemns hate-speech by Indians in the UAE,Mr. Bhatt's cousin Vimlesh Bhatt, who had even filed a petition with the High Court in Delhi over the issue, said he was driving back to Delhi for the second time in three days, undertaking the seven hour drive from Tehri in the hope that the body would be allowed to come back to India on Monday morning.,While one of the victims had died in a car accident, the other two suffered heart attacks. But despite appeals from the Indian Embassy and airline officials that they were not COVID-19 patients, officials refused to hand them over to their families, who had driven down from Uttarakhand and Punjab despite lockdown restrictions, to collect the remains.,“We feel extremely sorry for the families of these three men,” India’s Ambassador to the UAE Pavan Kapoor told,The Hindu,,expressing shock at the way the bodies were returned summarily to the UAE by airport authorities.,On Saturday, the,Ministry of Home Affairs issued a memorandum,(No.25022/06/2020-Imm) revoking the earlier ban and said bodies and mortal remains would be permitted “subject to strict adherence to the guidelines ...regarding management of COVID-19 and submission of a no objection approval/concurrence from Ministry of Health and Family Welfare and MEA”.,Also read |,Parents in UAE attend son’s funeral in Kerala virtually,However, the Health Ministry is yet to issue the required SOPs (Standard Operating Procedures), which officials say is delaying matters further.,The incident in Delhi marked the third such decision involving Indians who passed away in the Gulf during the last month.,Last week, the bodies of two citizens from Kerala were flown to Chennai from Dubai and were held at the airport for hours because of “protocol” issues, while the bodies of two workers in Kuwait city were prevented from being flown back.,The spurt in such cases prompted Delhi-based activist Jose Abraham of the “Pravasi legal cell” to file a PIL in the Supreme Court, demanding directions to the government to remove restrictions on the repatriation of bodies. According to Mr. Abraham, the PIL could be taken up by the Court this week.,“All embassies in the Gulf region are aware of the importance of such situations as often the deceased is a bread earner for the family back home. This particular issue could have been handled better and that is why even the Ambassador expressed his unhappiness about the development,” former ambassador to the UAE, Talmiz Ahmad said about the case of the bodies being returned to Abu Dhabi.,According to NRI activist in the UAE, Girish Pant, who has been assisting families with such cases, at least 12 other bodies of people belonging to different parts of the country including Delhi, Chennai, Trivandrum, Lucknow and Ahmedabad are also in Dubai, awaiting clearances to be repatriated to their families.,“They have a right to see their loved ones and to conduct their last rites with dignity,” Mr. Pant said to,The Hindu.,“The government must sort out the regulations to accept and release these remains as soon as possible, so as not to deepen the trauma and grief for their families,” he added.",Coronavirus | Red tape stalls return of bodies from Gulf
"April 26, 2020 16:59 IST","AHMEDABAD,","In a much-awaited large-scale reshuffle in the Central administration, the Modi government has appointed/reshuffled 23 Secretary-level officials.,Two senior bureaucrats from the PMO have been moved out to important positions — Secretary AK Sharma as Secretary of MSME and Tarun Bajaj as Secretary of Economic Affairs in place of Atanu Chakraborty, who is retiring this month.,The most notable appointment is that of Mr. AK Sharma, who was one of the most powerful bureaucrats in the PMO as he has been with PM Modi since October 2001 when he took over as the Chief Minister of Gujarat.,“The fact that he has been moved to a not very significant department is telling,” an insider told,The Hindu.,However, a corporate honcho said since the Small and Medium Enterprises (SME) would be the focus of the government after the pandemic, Mr. Modi has posted his trusted aide to concentrate his efforts and energies on it, which forms the backbone of the industrial sector.,Mr. Tarun Bajaj’s exit from the PMO was expected as his name was doing the rounds for a prized posting in the Ministry of Finance.,Rajesh Bhushan, Secretary, Rural Development, has been moved to the Ministry of Health and Family Welfare as Officer on Special Duty (OSD) and will take over from Preeti Sudan, who is scheduled to retire this month but has been given extension in view of the pandemic. However, Mr. Bhushan will take over from her three months after April 30.,The Hindu,mentioned on Saturday that Mr. Modi is expected to carry out a large reshuffle in the top administration over the weekend since seven Secretaries are scheduled to superannuate this month and there are already several vacancies.,As per the orders issued by the Department of Personnel and Training after the Appointments Committee of the Cabinet (ACC) approval, Gujarat cadre IAS officer and chairperson of the CBSE Anita Karwal has been made Secretary, School Education and Literacy as mentioned in these columns.,Another Gujarat cadre officer RP Gupta has been made Secretary, Environment and Forest and Climate Change.,Vice Chairman of the Delhi Development Authority (DDA) Tarun Kapoor has been made Secretary, Petroleum and Natural Gas.,Ministry of Information and Broadcasting Secretary Ravi Mittal has been shifted as Secretary, Youth Affairs and Sports. Amit Khare, who was earlier Secretary, I&B, has again been given additional charge of Secretary of the Ministry.,Ranjeev Ranjan, Secretary, Road Transport and Highways, has been made Secretary, Shipping.,Anand Kumar, Secretary, Renewable Energy, has been shifted as Secretary Culture.,Ravi Kant, Secretary, Food and Public Distribution, has been made Secretary, Ex-Servicemen Welfare in the Ministry of Defence. Interestingly, Secretary, Consumer Affairs, Pawan Kumar Agarwal, has been shifted to the Ministry of Commerce as Special Secretary (Logistics).,Nagendra Nath Sinha moved from the Ministry of Home as Secretary, Border Management, to the Ministry of Rural Development as the Secretary.,PK Tripathi, Establishment Officer in the DoPT, has been made Secretary, Steel.,Indu Shekhar Chaturvedi has been taken from Jharkhand cadre to be appointed as Secretary, Renewable Energy.,Leena Nandan is the new Secretary, Consumer Affairs, and Rajesh Verma is new Secretary, Corporate Affairs.,Rajesh Chaturvedi is new Secretary, Chemicals and Petrochemicals, while Ajay Tirkey is Secretary, Women and Child Development.,“All changes in the postings and appointment were made after a detailed exercise involving the performance of each bureaucrat by PM’s Principal Secretary PK Mishra,” a top insider told,The Hindu.",Centre effects major reshuffle of officials
"April 26, 2020 17:10 IST","NEW DELHI ,","Ahead of Prime Minister Narendra Modi’s Monday video-conference with Chief Ministers,, the Congress on Sunday said the party hoped that Mr. Modi would put out ‘a comprehensive and holistic plan’ to exit the ongoing lockdown.,The party also questioned the government’s testing strategy to fight the,coronavirus [COVID-19] pandemic,and asked why the country was testing far below its capacity.,COVID-19 | Interactive map of confirmed coronavirus cases in India,“Experts agree that mass random testing is the key to beating corona. In India, a bottle neck is stopping us from scaling testing from the current 40,000 per day to 1 lakh tests a day, for which test kits are already in stock. PM needs to act fast and clear the bottleneck,” former Congress chief Rahul Gandhi tweeted.,Addressing an online press conference, Lok Sabha MP Manish Tewari also questioned the government’s motive.,“Is there an attempt to either play down the magnitude of the problem or is the government unsure that if we go in for enhancing the testing capacity, then it does not have the capacity to deal with its implications?” Mr. Tewari asked.,“We hope that the Prime Minister puts out a comprehensive, holistic strategy in dealing with the lockout-exit and the situation for the next three months, during his meeting with chief ministers on Monday,” he said.,COVID-19 | State-wise tracker for coronavirus cases, deaths and testing rates,Mr. Tewari said till until there is national plan to deal with disasters or pandemics under the relevant laws, State governments cannot formulate plans to deal with post-lockdown issues.,Mr. Tewari stressed that information from experts indicate that ‘the virus is here to stay and India needs to workout a strategy with the virus around’.,The Congress leader also asked the government to prepare a plan to mitigate the pain of the migrants, who are either making arduous journeys back home or are stuck in shelters/camps for the past one month.",Coronavirus lockdown | Set out holistic plan for lockdown exit: Cong. to PM
"April 26, 2020 15:05 IST","Mumbai ,","Maharashtra Home Minister Anil Deshmukh on Sunday said a committee probing the role of a senior IPS officer in giving travel permit to DHFL chairman Kapil Wadhawan and his 22 family members will submit its report in less than 48 hours.,“Additional Chief Secretary Manoj Saunik report on the inquiry against Principal Secretary Home (Special) Amitabh Gupta likely to be submitted by today or tomorrow,"" he tweeted. The Home Minister said a CBI team has taken both Kapil and Dhiraj Wadhwan into custody, while the Satara police has given them all the required assistance and an escort vehicle with 4 guards upto Mumbai on a written request. The arrest procedures are going on, he said.,Mr. Saunik was not reachable on the phone at the time of going to the press.,,Also read:,Court grants Wadhawan brothers protection from arrest till April 27,,The,committee was appointed earlier this month,under the chairmanship of Additional Chief Secretary Manoj Saunik, after a controversy erupted over an NoC (No Objection Certificate) given to Mr. Wadhawan to travel from Khandala to Mahabaleshwar on April 8 despite the lockdown.,Principal Secretary (Special) Amitabh Gupta, IPS,,was sent on compulsory leave with immediate effect,till the inquiry is pending, the State Home Minister had then announced.,,Also read |,Travel nod to Wadhawans: Shiv Sena accuses ex-CM Fadnavis,,Mr. Wadhawan and his brother Dheeraj are DHFL promoters, and co-accused in a case of cheating and money laundering registered against Yes Bank co-founder Rana Kapoor. Earlier this month, both the brothers, along with over 20 family members,,were detained at Mahabaleshwar,for violating prohibitory orders.","Panel probing Wadhawans' permit will submit report in 48 hours, says Maharashtra Home Minister"
"April 26, 2020 16:10 IST","New Delhi,","Prime Minister Narendra Modi will interact with chief ministers via video conference on Monday morning on the way ahead in the fight against the,novel coronavirus,, amid indications that the discussions could also focus on a graded exit from the ongoing lockdown.,This will be the third video conference of the Prime Minister with the Chief Ministers after the spread of the COVID-19 in the country.,Also read:,Coronavirus | Narendra Modi calls for unity in COVID-19 response,Sources in the government indicated that besides discussing the way forward in dealing with the pandemic, the discussion could also focus on a “graded” exit from the lockdown which is in place till May 3.,The Centre and the state governments have been giving gradual relaxation in various fields and sectors to boost economic activities as also to provide relief to people. But some states are willing to extend the lockdown beyond May 3 to ensure that coronavirus cases remain under control.,In his monthly ‘Mann ki Baat’ radio address on Sunday,, the Prime Minister said the country is in the middle of a ‘yudh’ (war) and asserted that people have to continue being careful and take precautions.,His note of caution comes against the backdrop of the Union government and states relaxing lockdown norms to revive economic activities.,Also read:,Coronavirus | Biggest message from COVID-19 is that India must be self-reliant, says Modi,“I urge you not to get overconfident. You should in your over-enthusiasm not think that if the coronavirus has not yet reached your city, village, street or office, it is not going to reach now. Never make such a mistake. The experience of the world tells us a lot in this regard,” he said.,Mr. Modi referred to a popular Hindi idiom ‘,Sawdhani hati, durghatna ghati,’ (accident happens when caution is lowered) to make his point.,The Centre has now allowed neighbourhood and standalone shops, including those located in residential complexes, in urban areas to open during the lockdown. But those in the markets continue to remain shut till May 3.,In rural areas, all shops, except those in shopping malls, are allowed to open.,Also read:,Coronavirus | Humanity will overcome pandemic, says Modi,In a late night order on Friday, the Home Ministry also said malls continue to remain shut but markets in rural areas can open.,However, opening of shops located in COVID-19 hotspot and containment zones, sale of non-essential items by e-commerce platforms and sale of liquor continue to be prohibited.,In the last interaction on April 11, several chief ministers had recommended extension of the 21-day lockdown by two weeks, which was slated to end on April 14 earlier.,On April 14, the prime minister had announced that the lockdown is being extended till May 3.,Before the lockdown was announced on March 24, the Prime Minister had interacted with the Chief Ministers on March 20 to discuss ways and means to check the spread of the novel coronavirus.",Coronavirus | PM Modi to interact with CMs on Monday to discuss way out of lockdown
"April 26, 2020 15:20 IST","Lucknow/New Delhi,",,"COVID-19 | Priyanka Gandhi voices concern over situation in Agra, cites letter by Mayor"
"April 26, 2020 15:18 IST","Srinagar/New Delhi,","With around 300 terrorists reported to be waiting across the Line of Control in Pakistan-occupied Kashmir (PoK) to sneak into Kashmir Valley, the Indian Army is taking steps to “re-calibrate” its counter-infiltration grid and counter-insurgency strategies to check the intrusion.,Lt Gen B.S. Raju, who is commanding the strategically-located XV corps in Kashmir, has also asked his formations to take adequate precautions during patrolling along the Line of Control (LoC) in view of the coronavirus outbreak with the possibility of the infiltrating terrorists having infection not being ruled out.,The field intelligence units of the Army coupled with inputs comprising HUMINT (human intelligence) and TECHINT (technical intelligence) indicate that around 300 terrorists, mainly of the banned Hizbul Mujahideen and Lashker-e-Taiba (LeT), are waiting across the border to sneak in, officials said, citing reports from Srinagar collated in the national capital.,As many as 16 launch pads along the LoC had been activated in the recent weeks by the Pakistan Army and its external snooping agency ISI which included those located in difficult terrains like Nowshera and Chhamb from where the terrorists are known to enter the Gulmarg area of north Kashmir.,The reports said Gen Raju has been regularly holding meetings with the formations to work on the re-calibration of Counter Infiltration Grid (CIG) to ensure that no terrorist gives the slip and reaches the hinterland after crossing the LoC.,The increased attempts from across the border to push in militants are also being factored in by the Army in its new approach.,In the event of an engagement at the LoC with the terrorists, the troops have been asked to handle any bodies with utmost care as they could be infected with the novel coronavirus, the officials said.,The CIG has been made much more robust and the coordination among various security agencies in the grid smooth, the officials said, adding some changes have been made in the troop deployment which includes putting an additional layer of troops.,Officials said a heavy concentration of terrorists was witnessed across Leepa valley, Athmuqam and Dudniyal, the same area in higher reaches of Keran sector in north Kashmir where a group of five terrorists had infiltrated on April 1 and who were subsequently neutralised on April 5. Five army personnel also lost their lives in the gunfight.,The launch pads like Dumail, Sardari and Dhakki, which are normally activated in late summer, had also witnessed the presence of terror groups this time, the officials said.,Among other launch pads that had seen presence of terrorists included Shardi, Neelum valley, Nowshera and even Chakoti, Khoja bandi and Haji Peer. These camps were used by the terrorists to sneak into the Uri army camp in 2016.,As many as 19 soldiers were killed when four terrorists entered the camp on September 18, 2016. All the infiltrating terrorists were subsequently killed. This incident led to Uri surgical strikes in which the Army’s special forces targeted the terror camps across the LoC.",Around 300 terrorists waiting in PoK for intrusion; Army re-calibrates counter-infiltration grid
"April 26, 2020 18:52 IST","Mumbai,","Rashtriya Swayamsevak Sangh (RSS) chief Mohan Bhagwat on Sunday said an entire community could not be blamed for the acts of a few done out of fear and anger. He appealed to leaders of communities to exhort their members not to be part of such acts.,Mr. Bhagwat said the crisis arising out of the spread of the novel coronavirus should be taken as an opportunity to build a new India that would lead the world.,“Both sides should stay away from fear and anger. Those who lead the respective communities must save their communities from it. They should teach their communities that we must not be part of any act that takes place out of fear or anger,” he said in an address to RSS workers through social media.,Mr. Bhagwat said that when such a precaution was not taken, two saints were killed in Maharashtra. “Keep the debate over it aside. But should that act been allowed? Should law and order be taken in own hands? What should the police do when such an act takes place?” he asked, saying two innocent followers of a religion were lynched. “The Hindu Dharma Acharya Sabha has given a call that homage be paid to them on April 28, and the Vishwa Hindu Parishad has also announced a programme. We will all follow it. I pay my tributes to them,” he said.,Earlier, he said the RSS decided in March itself to postpone all its programmes till June-end. “But someone might feel that the government is obstructing their programmes. There is no dearth of people who ignite a fire. It leads to anger and losing sense, resulting in an extremist act. We know that there are forces that want to benefit from it. It is one of the reasons for the manner in which the novel coronavirus has spread in India,” Mr. Bhagwat said.,He added that even if someone committed any act out of fear or anger, the entire community could not be blamed for it. “People with faults are everywhere. Ordinary people must realise that their position should be of co-operation and not of opposition. There are people who use doubts to spread fear and anger. They are playing games. For selfish reasons, many with thoughts like ‘Bharat tere tukde honge’ work towards this,” he said.,“We have to stay out of it. We cannot be reactionary out of vengeance or enmity. We must keep in mind that the 130 crore people of India are our brothers and sons of Bharat Mata,” he said.,Mr. Bhagwat said the crisis stemming out of the novel coronavirus should be converted into an opportunity to create a new India that would lead the world. “Not only the government but also society should participate [in the process]. We will use what is manufactured here. We will buy foreign-made essentials on our own terms. We will have to use swadeshi [products],” he said. “We have to encourage swadeshi businesses,” he said. “Businessmen, manufacturers, labourers must measure up to the standard. We must not depend on foreigners,” he said, adding that organic farming and cow-husbandary should be studied and followed by changing the chemical-based life-style.","Coronavirus | One community should not be blamed for acts of a few, says Mohan Bhagwat"
"April 26, 2020 20:09 IST","New Delhi,","The death toll due to,COVID-19,continued to rise on Sunday, with the country registering a total of 826 fatalities and 26,917 cases, according to the Union Health Ministry. While the death toll rose by 46, the number of cases spiked by 1,975 since Saturday evening.,The number of active cases stood at 20,177, while 5,913 people have recovered and one patient has migrated, the Ministry said. The total number of cases includes 111 foreign nationals, while 312 cases are being assigned to States for contact tracing.,Interactive map of confirmed coronavirus cases in India,|,State-wise tracker for coronavirus cases, deaths and testing rates,However, reports from the States put the total number of cases at 27, 579, out of which 20,274 are active. The nationwide death toll stood at 880, while 6,425 people have recovered.,Maharashtra accounts for the highest number of fatalities, followed by Gujarat, Madhya Pradesh, Delhi, and Andhra Pradesh.,“Through a graded, pre-emptive and pro-active approach, the Central government is taking several steps along with the States/Union Territories for prevention, containment and management of COVID-19. These are being regularly reviewed and monitored at the highest level,” said Union Health Minister Harsh Vardhan on Sunday.,Speaking after a visit to the Trauma Centre of the All India Institute of Medical Sciences here to take stock of COVID-19 preparedness, he noted that 5,913 people have recovered, with a recovery rate of 21.9%. “The situation is improving in India as Hotspot Districts are moving towards becoming Non Hotspot Districts,” said the Minister.,Dr. Vardhan said people should observe the lockdown in letter and spirit and treat it as an effective intervention to cut down the spread of COVID-19.,,The Minister said the doubling rate had been showing regular improvement and stood at 10.5 days when seen over a period of 3 days, 9.3 days over a period of 7 days and 8.1 days over a period of 14 days. “These indicators may be be taken as positive effects of the lockdown along with the cluster management and containment strategies,” he said.,Dr. Vardhan said, “As on date, 283 districts have not reported any COVID cases till date, 64 districts have not reported a fresh case since the last 7 days, 48 districts have not reported a fresh case since the last 14 days, 33 districts have not reported a fresh case since the last 21 days and 18 districts have not reported a fresh case since the last 28 days.”,India coronavirus lockdown Day 33 updates,|,Helpline numbers,,On the status of availability of medical equipment and facilities in the country, Dr. Vardhan said the government had already made available sufficient quantities of Personal Protective Equipment (PPEs) at the State level. “Now we have around 106 manufacturing units which are capable of making them in India itself which will be enough to meet the increasing requirement of our country in future.”,“There are now 10 manufacturers of N-95 masks in the country,” he said,Speaking about the availability of ventilators, he said, “Through the efforts of the government and our various research labs, the production of ventilators by domestic manufacturers has also started and orders have been placed for more than 59,000 units through 9 manufacturers.”,Elaborating on the adequacy of the ventilators, oxygen supplies and ICUs that have been made available by the Centre and the States, he said “When we compare the number of active patients who are currently hospitalised, we find that only 2.17% patients have been admitted to ICU, 1.29% patients have required oxygen support and mere 0.36% are on ventilator.”,“We are winning the battle and eventually we will win this war against COVID-19 as we know our enemy, its numbers and its proper whereabouts and we are prepared to deal with any situation” noted the Minister.,Download,The Hindu,’s multi-language e-book on essential COVID-19 information,Meanwhile, Cabinet Secretary Rajiv Gauba on Sunday had a videoconference with all the Chief Secretaries and DGPs of the States/UTs to review the preparedness for COVID-19 response.,“He highlighted that States which are having high case loads should focus on effective implementation of lockdown measures and containment strategy. States also need to focus on medical infrastructure which includes adequate availability of isolation beds, ICU beds and ventilators,” the release noted.",Coronavirus | India puts its recovery rate at 21.9%
"April 26, 2020 19:30 IST","NEW DELHI ,","﻿,Australia has informed India that their premier multilateral air combat training exercise,Pitch Black 2020,scheduled from July 27 to August 14 has been cancelled due to the COVID-19 situation, defence sources said.,This was conveyed by Air Marshal Meg Hupfeld, Chief of the Royal Australian Air Force (RAAF), in a letter to Air Chief Marshal RKS Bhadauria, in mid-April.,“The RAAF Chief informed of his decision to cancel the exercise this year due to the current and anticipated impacts of the worldwide pandemic of COVID-19,” a defence source told,The Hindu,. He also noted that while the IAF was not participating with aircraft, Ex Pitch Black 2020 would have provided an opportunity for engagement between our personnel, the source said.,The exercise is also an opportunity to interact with forces from across the globe, a second defence source said. The next edition of Pitch Black is scheduled in 2022.,In the last edition of Pitch Black in 2018, the IAF for the first time deployed fighter aircraft which it had said would “provide a unique opportunity for exchange of knowledge and experience with these nations in a dynamic warfare environment”. The contingent consisted of 145 personnel, four Su-30MKI fighters, one C-130 and one C-17 transport aircraft which went to Australia via Indonesia and during the transit had constructive engagements with Indonesian and Malaysian Air Forces as well.,The defence and strategic engagement with Australia has steadily gone up in recent years especially on the bilateral front with naval cooperation at the forefront. The bilateral naval exercise AUSINDEX early last year saw participation of the largest Australian contingent ever to India with over 1,000 personnel.,The Mutual Logistics Support Agreement (MLSA) has been long pending and is expected to be concluded soon as well as a broader maritime cooperation agreement including the Maritime Domain Awareness (MDA) to elevate the existing strategic partnership.,Last week, Australian High Commissioner-designate Barry O’Farrell made a pitch for trilateral cooperation among India, Australia and Indonesia to “identify new ways that our three countries can collaborate to be the best possible custodians of the Indian Ocean”.,The defence cooperation between India and Australia is underpinned on the Memorandum on Defence Cooperation 2006, the Joint Declaration on Security Cooperation 2009 and the bilateral Framework for Security Cooperation 2014.",COVID-19: Australia cancels premier multilateral air combat training exercise
